DID,Name,Designation,Specialities,Branch
PDC-193,DR. MOHAMMAD ANOWARUL ISLAM,"MBBS,BCS(Health),FCPS(Medicine),MACP(Medicine) - Consultant(Medicine), Mymensingh Medical College & Hospital",Medicine,Mymensingh
PDC-194,DR. K M MURSHED MAMUN,,Medicine,Mirpur
PDC-195,DR. MD. TANVIR HASAN,"MBBS (Dhaka); BCS (Health); FCPS (Medicine); Specialist Traning Rheumatology & Diabetes; Consultant (Medicine), 250 Bed General Hospital, Noakhali.",Medicine,Noakhali
PDC-196,DR. MD. AL AMIN (DHRUBA),MBBS (DHAKA) BCS (HEALTH) FCPS (MEDICINE). Dhaka Medical College Hospital,Medicine,Narayangonj
PDC-197,PROF. DR. ANUPAM BARUA,,Medicine,Chattogram
PDC-198,PROF. DR. M. A. SATTAR,,Medicine,Chattogram
PDC-199,PROF. DR. MD. ATIQUEL ISLAM CHOWDHURY,,Medicine,Chattogram
PDC-200,ASST. PROF. DR. ABDULLAH ABU SAYEED,,Medicine,Chattogram
PDC-201,DR. NOOR MOHAMMAD,,Medicine,Chattogram
PDC-202,DR. A. H. M. THARAKUL MAZID,,Medicine,Chattogram
PDC-203,DR. KAZI MD. ABRAR HASAN,,Medicine,Chattogram
PDC-204,DR. RIAD MD. MOSHAED HOSSAIN,,Medicine,Mirpur
PDC-205,DR. MD ABDUR RAZZAK,"MBBS, BCS(Helth), FCPS(Medicine), MACP (Uk), Consultant Medicine,Rajshahi Medical College & Hospital",Medicine,Rajshahi
PDC-206,ASSIST: PRO.DR. JAKARIA AL-AZIZ,,Medicine,Savar
PDC-207,DR. BISHAD CHANDRO SARKER,,Medicine,Kurigram
PDC-208,DR. MD. MAHADI HASAN,,Medicine,Barisal
PDC-209,DR. SUDIP RANJAN DEB,"MBBS(DMC), FCPS (Medicine), FACP (USA), Medicine Specialist, Associate Professor, Department of Medicine, DMCH, Dhaka.",Medicine,Dhanmondi
PDC-210,PROF. DR. BHASKAR SAHA,,Medicine,Barisal
PDC-211,PROF. DR. BHASKAR SAHA (EVENING),,Medicine,Barisal
PDC-212,DR. MD. NUR ALAM (LELIN),Consultant Medicine,Medicine,Uttara
PDC-213,DR. SAYEEF HOSSAIN KHAN MARK,"MBBS(DMC), BCS(Health), FCPS (Medicine Gold Medalist),MRCP (London), MACP (USA), CCD (Birdem), EULAR Fellow (Rheumatology),Ex- Consultant (Queen Elizabeth Hospital, UK) Dhaka Medical College Hospital",Medicine,Dhanmondi
PDC-214,ASSTT.PROF.DR.MD.SHAHIDUL ISLAM(SHAHIN),,Medicine,Bogura
PDC-215,DR. T. M. SHAHNAWAZ ISLAM,"MBBS, FCPS( Medicine) Medicine Specialist. Consultant( Medicine Department) Sir Salimullah Medical Collage & Mitford Hospital, Dhaka.",Medicine,Gazipur
PDC-216,DR. T.M SHAHANAWAZ ISLAM,MBBS. FCPS ( Medicine),Medicine,English road
PDC-217,ASSO. PROF. DR. MOHAMMADUNNABI DIPU,"MBBS; BCS (Health); FCPS (Medicine); Associate Profesor, Abdul Malek Ukil Medical College, Noakhali.",Medicine,Noakhali
PDC-218,DR. S. SARKAR,,Medicine,Chattogram
PDC-219,DR. MD. RASHED MIRJADA,,Medicine,Chattogram
PDC-220,DR. SRIKRISHNA BANIK,,Medicine,Chattogram
PDC-221,DR. MD. MOSHIUR RAHMAN,,Medicine,Dinajpur
PDC-222,DR. SYED SELIM SARWAR,,Medicine,Chattogram
PDC-223,PROF. DR. JOYABRATA DAS,,Medicine,Chattogram
PDC-224,DR. DEBABRATA DAS,"MBBS(MMC) ,BCS( Health) MCPS (Med) MD (Medicine)",Medicine,Narayangonj
PDC-225,PROF. DR. MD. JASHIM UDDIN,,Medicine,Chattogram
PDC-226,DR. HAMID HASSAN,,Medicine,Chattogram
PDC-227,ASST.PROF. DR. SHEIKH ABDULLAH AL MAMUN,"MBBS, BCS, FCPS ( Medicine) Member, American College Of Physician, Medicine Specialist, Khulna Medical College & Hospital, Khulna.BMDC Reg. No. - A-41807",Medicine,Khulna
PDC-228,DR. MRINAL KANTI SANA,"MBBS, BCS (Health), FCPS (Medicine) MACP (USA), CCD (BIRDEM) Specialized Trining ( Neuro Medicine, Cardiology) Medicine & Diabetes Specialist,Department of Respiratory Medicine. khulna Medical College Hospital,Khulna",Medicine,Khulna
PDC-229,DR. KAMRUN NAHAR (KONA),"MBBS, BCS ( Health), FCPS ( Medicine ) MD (Internal Medicine ) MACP ( USA), CCD (BIRDEM) , Diploma in Asthma Care (UK),Consultant Medicine Specialist , Khulna Medical College Hospital, Khulna . BMDC Reg. NO. A -43854",Medicine,Khulna
PDC-230,ASST. PROF. DR. MD. ZAHIRUL HUQ,"MBBS (Dhaka), BCS (Health) FCPS (Medicine) MACP (America) Higher Training in Cardiology, Rheumatology & Diabetes. Department of Medicine. Khulna Medical College Hospital,Khulna.",Medicine,Khulna
PDC-231,DR. SWADESH BARMAN,,Medicine,Badda
PDC-232,PROF. DR. SANJAY KUMAR SAHA (EVENING),"MBBS, FCPS (Medicine). Bashundhara Ad-din Medicla College Hospital",Medicine,Narayangonj
PDC-233,ASSISTANT.PROF.DR.DAWAN KHAIRUL ALOM,,Medicine,Savar
PDC-234,PROF. DR. SAKI MD. JAKIUL ALAM,"MBBS, FCPS (Medicine), Professor & Head, Department of Medicine, Shaheed Suhrawardy Medical College & Hospital, Dhaka.",Medicine,Dhanmondi
PDC-235,DR.A.S.M.SHAHABUR ALOM( SUMON ),,Medicine,Bogura
PDC-236,PROF. DR. A. B. M. SAIFUL ALAM,"MBBS, BCS(Health), FCPS (Medicine), MD ( Internal Medicine) Khulna Medical College.",Medicine,Khulna
PDC-237,DR. MD. KAMAL UDDIN,,Medicine,Chattogram
PDC-238,DR. MD.NAZIM UDDIN,,Medicine,Kushtia
PDC-239,ASST.PROF.DR.ASHIM CHAKRABORTY,,Medicine,Uttara
PDC-240,DR. PRASENJIT BARUA,,Medicine,Chattogram
PDC-241,ASSOCIATE PROF.DR.ABDUL AWAL,,Medicine,Savar
PDC-242,DR.MD. FARIDUL ISLAM,,Medicine,Savar
PDC-243,DR. MD. NAZMUL HUDA,"MBBS(Dhaka), MCPS(Medicine), FCPS(C)(Medicine),CCD(Birdem) Current Posting:-Anowar Khan Modern Medical College & Hospital",Medicine,Narayangonj
PDC-244,DR. SHOIB AHMED,MBBS (Dhaka) PGT(MEDICINE & NEPHROLOGY) CCD (BIRDEM) MPH(BSMMU),"Diabetologist, Nephrology, Medicine",Badda
PDC-245,DR. HUMAYUN KABIR,"MBBS,MCPS,FCGP,CCD(Birdem), Narayanganj Diabetic Hospital",Medicine,Narayangonj
PDC-246,PROF. DR. BRIG. GEN. NAZIMUDDIN (MORNING),,Medicine,Mirpur
PDC-247,DR. ISHRAT BINTE REZA,"MBBS (DU), FCPS (Medicine), MACP, Assistant Professor, Medicine Department, Popular Medical College & Hospital, Dhaka.",Medicine,Dhanmondi
PDC-248,DR. MD. SHAHRIAR ZIAUL ISLAM,"MBBS(Dhaka), BCS(Medicine), FCPS(Medicine), CCD(Birdem) Current Posting:-National Institute Of Cardiovascular Diseases",Medicine,Narayangonj
PDC-249,DR. PRODIP KUMAR SARKAR,"MBBS,FCPS (Medicine), MCPS (Medicine) MD (Chest). Current Posting:- Dhaka Medical College Hospital",Medicine,Narayangonj
PDC-250,DR. SHAPUR IKHTAIRE (BHABAN - 6),"MBBS, MRCP (UK), Fellowship, McMaster University, Canada, Higher Training in Rheumatology. Medicine Specialist and Consultant, Dept. of Internal Medicine, BSMMU, Dhaka.",Medicine,Dhanmondi
PDC-251,ASSOC. PROF. DR: SYED MAHBUB ALAM,"MBBS, MD (Medicine), Associate Professor, (Medicine),Rajshahi Medical College & Hospital.",Medicine,Rajshahi
PDC-252,DR. ABED HUSSAIN KHAN,MBBS.FCPS(Medicine). Associate Professor (Dept. Of Medicine) BSMMU- Dhaka.,Medicine,Dhanmondi
PDC-253,DR. MD. SAIDUR RAHMAN (HIMEL),"MBBS, BCS(Health), MD(Medicine), MACP(USA) Current Posting:- General Hospital Munshonj",Medicine,Narayangonj
PDC-254,PROF. DR. MD. SHOWKOT ALI,,"Gastroenterology, Medicine",Badda
PDC-255,DR. NAJMUN NAHAR,,Medicine,Chattogram
PDC-256,DR. SHAPUR IKHTAIRE (BHABAN - 2),"MBBS, MRCP (UK), Fellowship, McMaster University, Canada, Higher Training in Rheumatology. Medicine Specialist and Consultant, Dept. of Internal Medicine, BSMMU, Dhaka.",", Medicine",Dhanmondi
PDC-257,DR. MOHAMMAD FAZLUL HAQUE,,Medicine,Uttara
PDC-258,DR. MD. RUHID HOSSAIN,"MBBS(Dhaka Medical College) BCS(Health) FCPS(Medicine), Consultant. Departmant of Medicine, Mental Hospital, Pabna .",Medicine,Rajshahi
PDC-259,DR. MISBAHUS SALEHEEN,,Medicine,Chattogram
PDC-260,DR. RAJIB KUMAR DHAR,,Medicine,Chattogram
PDC-261,ASSO. PROF. DR. AMINUL ISLAM,"MBBS, BCS (Health), FCPS (Medicine), FCPS (Gastroenterology), MACP(America), MACG, (America), Associate Professor, Shaheed Syed Nazrul Islam Medical College, Kishoreganj.","Gastroenterology, Medicine",Mymensingh
PDC-262,ASST.PROF. DR. FARHANA AFROOZ,MBBS (SSMC). FCPS ( Medicine). FCPS ( Endocrine Medicine),"Endocrine Medicine, Medicine",English road
PDC-263,DR. IKRAMUL HASAN KHAN,"MBBS, FCPS(Medicine),BCS(Health), Higher Training in Cardiology, Neurology& Chestdisease. Shaheed Tajuddin Ahmed Medical College Hospital, Gazipur",Medicine,Gazipur
PDC-264,PROF. DR. M A KASHEM (REPORT),"MBBS,MD,MCPS,FACP (DMC)",Medicine,Shantinagar
PDC-265,ASSOC.PROF. DR. MAMUNUR RASHID ( MAMUN ),,Medicine,Bogura
PDC-266,DR BINOY KRISHNA TARAFDER,"MBBS, FCPS ( Medicine) Associate Professor, Medicine Dhaka Medical College Hospital",Medicine,Dhanmondi
PDC-267,ASSO. PROF. DR. MAHBUBUR RAHMAN (MORNING),,Medicine,Uttara
PDC-268,DR. RIAD MD. MOSHAED HOSSAIN(EVENING),,Medicine,Mirpur
PDC-269,PROF. REZAUL KARIM,"MBBS, FCPS, FRCP, MACP, Professor, Department of Medicine, Dhaka Medical College & Hospital, Dhaka.",Medicine,Dhanmondi
PDC-270,DR. MD. RAFIQUL ISLAM,,Medicine,Chattogram
PDC-271,DR. MD.FORHAD HOSSAIN HIRA,MBBS (Dhaka).BCS (Health).Gold Medalist (Madicin).FCPS (Medicin).FCPS (Neuromedicin) Thesis.MACP (Amirica).R P (Medicin).Mymensingh Medical Collage & Hospital.,Medicine,Mymensingh
PDC-272,DR. MD.SYDUZZAMAN,,Medicine,Chattogram
PDC-273,PROF. DR. MD. MUKHLESUR RAHMAN,"MBBS(DMC), FCPS(Medicine), Medicine Specialist, EX-Prof & Head of Dept. Shaheed Monsur Ali Medical College & Hospital.Uttara, Dhaka. BMDC Reg. NO-8143",Medicine,Gazipur
PDC-274,ASSOC. PROF. DR. MD. AKHTARUL ISLAM (AKHTAR),"MBBS, BCS (Health) MD (Internal Medecine), FACP (America),Associate Professor, Derpartmant of Medicine, Rajshahi Medical College Hospital",Medicine,Rajshahi
PDC-275,DR. SHAH MD. ROUSHAN KOBIR CHOUDHURY,"MBBS, BCS (Health) FCPS (Medicine), MACP (America), Consultant , Derpartmant of Medicine, Rajshahi Medical College Hospital",Medicine,Rajshahi
PDC-276,DR. MAMUNUR RASHID,"MBBS, BCS, FCPS(Medicine), MD(Gastro).","Gastroenterology, Medicine",Badda
PDC-277,DR. MS ALAM (AFTERNOON),"MBBS, BCS (Health), FCPS (Medicine), MACP (USA), CCD (BIRDEM), EDC 9BIRDEM), Dhaka Medical College, Dhaka",Medicine,Dhanmondi
PDC-278,DR. MD. ARIFUL HASAN,"MBBS (DMC), BCS(Health) MD (Internal Medicine) BSMMU, MACP (America) Consultant , Derpartmant of Medicine, Rajshahi Medical College Hospital",Medicine,Rajshahi
PDC-279,DR. MD ROKIB SADI,"MBBS, BCS (Health) MD (Internal Medicine) BSMMU, MACP (America) R.P Medicine , Consultant , Derpartmant of Medicine, Rajshahi Medical College Hospital",Medicine,Rajshahi
PDC-280,DR: FARHANA AFROZ,"MBBS,FCPS(Medicine) Medicine Diabetes Specialist Assistant Professor BIRDEM General Hospital Shahbagh,Dhaka.",Medicine,Dhanmondi
PDC-281,ASSOC. PROF. DR. M. A SATTAR SARKAR,"MBBS, BCS, MCPS,FCPS (Medicine), FACP(USA) Associate Professor. Department Of Medicine. Sir Salimuallah Medical college Hospital",Medicine,Jatrabari
PDC-282,ASST. PROF. DR. M. S. AREFIN PATWARY,MBBS.FCPS(medicine).MCPS. fellow In Rheumatology. Assistant Professor. Dhaka medical College Hospital,"Medicine, Rheumatology Medicine",Jatrabari
PDC-283,ASST. PROF. DR. KAMOLESH CHANDRA BASHU,"MBBS.BCS.FCPS(Medicine),MD(Internal medicine). FCPS ( Endocrinology) Dhaka Medical College Hospital","Medicine, Endocrinology, Thyroid",Jatrabari
PDC-284,ASST. PROF. DR. TOUFIK AHMED,"MBBS.FCPS(Medicine). Assistant professor Of Internal Medicine Department , Sheikh Mujib Medical University.",Medicine,Jatrabari
PDC-285,DR. PARTHO MONI BHATTACHARYYA,"MBBS,MD,(Internal Medicine)MACP(America) , Consultanat Department Of Medicine , Rajshahi Medical College Hospital,Rahshahi.",Medicine,Rajshahi
PDC-286,DR. SUMAN DAS,,Medicine,Chattogram
PDC-287,DR. SOPAN CHANDRA DEB NATH,"MBBS; BCS (Health); FCPS (Medicine), MACP (USA), Abdul Malek Ukil Medical College, Noakhali.",Medicine,Noakhali
PDC-288,ASSTT. PROF. DR. SHIKH MD. ABDULLHA AL - MAMUN,"MBBS.(BCS), MD(Internal Medicine),MACP(Amirica),Assistant Professor ,Department Of Medicine, Rajshahi Medical College Hospital , Rajshahi.",Medicine,Rajshahi
PDC-289,PROF. DR. H A M NAZMUL AHASAN (MORNING),"FCPS, FRCP (Glasg), FRCP (Edin), FRCP (London), MACP (USA), Master, American College of Physicians (MACP). Professor of Medicine, Popular Medical College, Dhaka. Formerly Professor & Head, Department of Medicine, Dhaka Medical College, Bangladesh.",Medicine,Dhanmondi
PDC-290,DR. MD. RUHUL AMIN,"MBBS, MD (Internal Medicine ) Consultant Medicine Specialist, Rajshahi Medical College & Hospital",Medicine,Rajshahi
PDC-291,ASSOC. PROF. DR. SHEIKH MD. AFZAL UDDIN,"MBBS, BCS (Health), MD (Internal Medicine) Associate Professor , (Medicine) Rajshahi Medical College & Hospital",Medicine,Rajshahi
PDC-292,DR. MD. KHAIRUL ISLAM (SHIMON) MONDAY MORNING,,Medicine,Kushtia
PDC-293,DR. TASMIA SALSABIL,,"Medicine, Neurology",Barisal
PDC-294,PROF.DR.FAIZUL ISLAM CHAWDHURY (MORNING),,Medicine,Mirpur
PDC-295,PROF. DR. ABU HENA MOSTAFA KAMAL (REPORT),"MBBS,FCPS (Medicine) Professor & Head, Dept. of Medicine Holy Family Red Crescent Medical College",Medicine,Shantinagar
PDC-296,PROF. DR. SYED GHULAM MOGNI MOWLA,"MBBS, FCPS(Medicine), FRCPE (England), FACP(USA), Medicine Specialist, (Special Interests: Fever, Elderly Care, Diabetes & Pain), Professor, Dept. Of Medicine. Dhaka Medical College Hospital, Dhaka.",Medicine,Dhanmondi
PDC-297,DR. K. M. ISTIAK ROHAN,"MBBS,BCS(Health),FCPS(Medicine),MACP(USA),CCD(Birdem),Training in Advanced Endrocrinology & Metabolism(Mayo Clinic,USA),Consultant Physician, Dhaka Medical College Hospital. BMDC- 60812",Medicine,Gazipur
PDC-298,DR. MAHBUB HOSSAIN (BABU),"MBBS, BCS(Health), FCPS(Medicine), Narayanganj 300 Bed Hospital",Medicine,Narayangonj
PDC-299,LT. COL. DR. MD. BADRUL ALAM,"MBBS, FCPS(Medicine), MPH(BUP), CCD(Birdem), PGT(CCM)",Medicine,Narayangonj
PDC-300,DR. SULTAN MAHMUD SUMON,"MBBS, BCS(Health), FCPS(Medicine). Senior Consultant & Head of Dept. of Medicine.Current Posting:-Narayanganj 300 Bed Hospital (Retd.)",Medicine,Narayangonj
PDC-301,ASST. PROF. DR. M. S. AREFIN PATWARY ( MORNING),"MBBS. FCPS ( Medicine) ,MACP Fellowship In Rheumatology Medicine. Dhaka Medical College hospital","Medicine, Rheumatology Medicine",Jatrabari
PDC-302,PROF. DR. NAZMUL HUDA (SUMON),"MBBS, MACP(Medicine) MD(Internal Medicine) PHD. Fellow Of American College Of Physicians.Professor Unit - Head (Medicine Unit - 3) Rajshahi Medical College & Hospital , Rajshahi.",Medicine,Rajshahi
PDC-303,PROF. DR. MD. ABUL KALAM AZAD,"MBBS, FCPS (Medicine), Gold Medalist, FRCP (Edin) (BSMMU)",Medicine,Dhanmondi
PDC-304,DR. TARIKUL ISLAM,,Medicine,Barisal
PDC-305,ASSTT.PROF.DR. MD. AMZAD HOSSAIN SARDAR,"MBBS,BCS (Health) MD (Internal Medicine), MACP (USA) Assistant Professor ,Dept, Of Medicine.",Medicine,Rajshahi
PDC-306,DR. KAOSER ALAM,,Medicine,Gazipur
PDC-307,DR. MD. NUR ALAM (LELIN) (MORNING SHIFT),,Medicine,Uttara
PDC-308,DR. MD. SAROWAR-E-ALAM,,Medicine,Bogura
PDC-309,ASSOT. PROF DR. SHAILA RAHAMAN,"MBBS, MRCP(UK), Shaheed Monsur Ali Medical college Hospital",Medicine,Badda
PDC-310,PROF. DR. MD. NOOR ISLAM,,Medicine,Rangpur
PDC-311,DR. MD.MAMUN OR RASHID IBNE HARUN,,Medicine,Uttara
PDC-312,DR.MAHBUB MAYUKH RISHAD,"MBBS,FCPS(Medicine) Assistant Professor Department Of Medicine. Popular Medical College Of Physicians.",Medicine,Dhanmondi
PDC-313,DR.MAHBUB MAYUKH RISHAD (MORNING),"MBBS,FCPS(Medicine) Assistant Professor Department Of Medicine. Popular Medical College Of Physicians.",Medicine,Dhanmondi
PDC-314,ASSO. PROF. DR. MD. SAZZAD HOSSAIN,,Medicine,Garib-E-Newaz
PDC-315,PROFESSOR DR. GOBINDA CHANDRA ROY,,Medicine,Garib-E-Newaz
PDC-316,ASSO. PROF. DR. ABDULLAH AL FARUK,,Medicine,Garib-E-Newaz
PDC-317,PROF. DR.MEHERUNNESA,,Medicine,Shyamoli
PDC-318,DR. RAMIM ISLAM IBNE NOOR,,Medicine,Dinajpur
PDC-319,DR. MD SHAHED IQBAL HASAN,,Medicine,Chattogram
PDC-320,PROF. DR. SAFAYAT HASAN MAZUMDER,"MBBS; M.Phil; FCPS (Medicine); FACP (USA); Prof (Ex) Medical College for Women & Hospital, Dhaka.",Medicine,Noakhali
PDC-321,ASSO. PROF. DR. MOHAMMAD MIZANUR RAHMAN,"MBBS; BCS (Health); MPH (D.U); MCPS (Medicine); (Ex) Associate Profesor, Abdul Malek Ukil Medical College, Noakhali.",Medicine,Noakhali
PDC-322,ASST PROF.DR. MOHAMMAD YOUNUS,,Medicine,Chattogram
PDC-323,PROF. DR. GOBINDO CHANDRA BANIK,,Medicine,Barisal
PDC-324,DR. MOHAMMED WALIUR RAHMAN,,Medicine,Chattogram
PDC-325,DR.RAZIB KUMAR SAHA,,Medicine,Kushtia
PDC-326,ASSOCIATE PROF. DR. JAMAL UDDIN AHMED,,Medicine,Garib-E-Newaz
PDC-327,ASSIT. PROF. DR. MAHAMMAD MAHFUZUL HAQUE RAIHAN,,Medicine,Garib-E-Newaz
PDC-328,PROF.DR.MEHERUNNESA (EVENING),,Medicine,Shyamoli
PDC-329,ASSTT. PROF. DR. SULTANA RAZIA,,Gynaecology,
PDC-330,DR. MAFRUHA JAHAN,,Gynaecology,
PDC-331,DR. SHARMIN AKHTER (SHAMPA),,Gynaecology,
PDC-332,PROF. DR. SAYEBA AKHTER,"MBBS, FCPS (BD), FCPS (PAK), FICMCH (IN), DRH (UK). BSMMU.",Gynaecology,Dhanmondi
PDC-333,PROF. DR. KOHINOOR BEGUM,,Gynaecology,Dhanmondi
PDC-334,PROF. DR. MRS. FARHAT HOSSAIN,,Gynaecology,Dhanmondi
PDC-335,PROF. FERDOUSI ISLAM (LIPI),,Gynaecology,Dhanmondi
PDC-336,PROF. DR. S. F. NARGIS,,Gynaecology,Dhanmondi
PDC-337,PROF. DR. FATEMA RAHMAN,,Gynaecology,Dhanmondi
PDC-338,PROF. DR. SHIULY CHOWDHURY,"MBBS, FCPS, MS (Gynae). BSMMU.",Gynaecology,Dhanmondi
PDC-339,PROF. DR. KAMIL ARA KHANAM,,Gynaecology,Dhanmondi
PDC-340,PROF. DR. UTPALA MAZUMDER,"MBBS, FCPS, MS (Gynae & Obs). Professor Dhaka Medical College & Hospital, Dhaka.",Gynaecology,Dhanmondi
PDC-341,DR. JOYSREE SAHA,"MBBS (DMC), FCPS (Gynae). Popular Medicile College & Hospital, Dhaka.",Gynaecology,Dhanmondi
PDC-342,DR. FERDOUSI BEGUM,,Gynaecology,Dhanmondi
PDC-343,DR. KAMRUN NAHAR,,Gynaecology,Dhanmondi
PDC-344,DR.SNIGDHA CHAKRABARTY,,Gynaecology,Barisal
PDC-345,ASST. PROF. DR. FARZANA FERDOUS MUNMUN,MBBS(D.U)BCS Health DGO (BSMMU)FCPS Gyn&OBS SBMCH,Gynaecology,Barisal
PDC-346,ASSO. PROF. DR. NASRIN SULTANA,,Gynaecology,Barisal
PDC-347,PROF. DR. TAYEEBA TANJIN MIRJA,"MBBS(Dhaka),BCS(Health) FCPS,MS(BSMMU) Professor & Head of Department. Obstetrics & Gynaecology Department. Mymensingh Medical College & Hospital,Mymensingh.",Gynaecology,Mymensingh
PDC-348,ASSO. PROF. DR. KAMRUNNAHER,"MBBS.MS(Obs & Gynae) DGI,MCPS(Obs & Gynae) Associate Professor (Obs & Gynae) Mymensingh Medical College & Hospital.",Gynaecology,Mymensingh
PDC-349,DR. NIBEDITA RAY DOLA,"MBBS(DHAKA),BCS(Health) FCPS(Gynae & obs) MCPS(Gynae & obs) Special Training Infertility(India) Laparoscopic Surgery(India) Consultant(Gynae).",Gynaecology,Mymensingh
PDC-350,DR. SIMLA AFTAB (SHAON),"MBBS(DU),BCS(health) FCPS(Gynae & Obs) Consultant Mymensingh Medical College & Hospital,Mymensingh.",Gynaecology,Mymensingh
PDC-351,ASST. PROF. DR. RUMA AFROSE,"MBBS,BCS(Health) FCPS(Gynae & Obs), Assistant Professor, Mymensingh Medical College & Hospital,Mymensingh?",Gynaecology,Mymensingh
PDC-352,PROF. DR. ANOWARA BEGUM,"MBBS,FCPS",Gynaecology,Shantinagar
PDC-353,PROF. DR. MRS. SHAHIN RAHMAN CHOW.,"MBBS,MRCOG,FRCOG (Holy Family)",Gynaecology,Shantinagar
PDC-354,ASSO. PROF. DR. NAZNEEN AHMED,"MBBS,MCPS,DGO,FCPS (Holy Family Red Crescent Medical College & Hospital)",Gynaecology,Shantinagar
PDC-355,ASST. PROF. DR. SHAHIN ARA ANOWARI,"MBBS,FCPS,MS (BSMMU)",Gynaecology,Shantinagar
PDC-356,ASSO. PROF. DR. NAZMUN ARA,"MBBS,BCS,FCPS (Sir Salimullah Medical College & Mitford Hospital)",Gynaecology,Shantinagar
PDC-357,ASSO. PROF. DR. NASIMA BEGUM,"MBBS,FCPS (Enam Medical College, Savar, Dhaka)",Gynaecology,Shantinagar
PDC-358,DR. M.K SHELLY,"MBBS,DGO,MCPS",Gynaecology,Shantinagar
PDC-359,DR. MEHROSE ALAM CHOWDHURY,"MBBS,MCPS (Ex. Consultant Of Holy Family Red Crescent Hos. Dhaka)",Gynaecology,Shantinagar
PDC-360,DR. TAHURA AKTER,,Gynaecology,Barisal
PDC-361,DR. SOHELI AKTER,"MBBS (Dhaka), BCS (Health), FCPS (Gynaecology and Obs). Dhaka Medical College, Dhaka.",Gynaecology,Dhanmondi
PDC-362,DR.MANJUMAN ARA SARKAR,,Gynaecology,Savar
PDC-363,DR.DILRUBA YEASMIN DINA,,Gynaecology,Savar
PDC-364,DR.NEHER BANU,,Gynaecology,Savar
PDC-365,DR. SUMAYA AKTER,"MBBS, FCPS (Gynae & Obs), Assistant Professor, PMC",Gynaecology,Dhanmondi
PDC-366,DR. SHARMIN SULTANA SHEFA,,Gynaecology,Kushtia
PDC-367,DR. FARHANA MONSUR (JHUMUR),,Gynaecology,Kushtia
PDC-368,DR. JAYASHREE PAL,"MBBS, MS (Gynae & Obs), Consultant, Mymensingh Medical College & Hospital,Mymensingh",Gynaecology,Mymensingh
PDC-369,PROF. DR. SHOPNA RANI DHAR,"MBBS,DGO,FCPS (Dr. Sirajul Islam Medical College & Hospital Ltd. Dhaka)",Gynaecology,Shantinagar
PDC-370,ASST. PROF.DR. SHAMMI SULTANA FERDOUSI,,Gynaecology,Savar
PDC-371,PROF. DR. BEGUM NASRIN KIRON,"MBBS, FCPS, MS, Traned In Infertility And Advanced Laparascopic Surgery (India), Professor & Department Head (Obs & Gynae) Bangabandhu Sheikh Mujib Medical University, Dhaka",Gynaecology,Gazipur
PDC-372,PROF. DR. SHAMIMA HAQUE CHOWDHURY ANY,"MBBS (DMC), MCPS, DGO, MS(Gynae) Meternity, Gynaecology Specialist & Laparoscopic Surgeon. Professor & Department Head Gynaecology At Uttara Adhunik Medical College & Hospital, Uttara, Dhaka.",Gynaecology,Gazipur
PDC-373,PROF. DR. NARGIS AKTER,"MBBS,MCPS, FCPS,MS, FICS, MRCOG, Traned In Infertility And Advanced Laparascopic Surgery , Professor Bangabandhu Sheikh Mujib Medical University(PG Hospital) Shahabag,Dhaka",Gynaecology,Gazipur
PDC-374,ASST. PROF. DR. JUBAIDA SULTANA LUCKY,"MBBS(Dhaka), BCS(Health), DGO( Gyn & Obs), Obsterician & Gynaecologist Specialist & Surgeon Consultant Gynae Department Shaheed Tajuddin Ahmad Medical College & Hospital Gazipur",Gynaecology,Gazipur
PDC-375,ASSO. PROF. DR. ALEYA KHATUN,"MBBS(DMC), BCS(Health), FCPS(Gynae & Obs), Gynocology & Infertility Specialist (Special Trained in Infertility) Shaheed Tajuddin Ahmad Medical College & Hospital Gazipur",Gynaecology,Gazipur
PDC-376,DR. FARHANA KARIM SHETU,"MBBS(Dhaka), BCS(Health), FCPS( Gyn & Obs),FCPS(Infertility) ,Trained in ART (india), Infertility Specialist, Obsterician & Gynaecologist & Surgeon, Consultant, Mugda Medical College,Dhaka.",Gynaecology,Gazipur
PDC-377,PROF. DR. MAHBUBA AKTER,,Gynaecology,Badda
PDC-378,ASSIT. PROF. DR. SUMONA RAHMAN,,Gynaecology,Badda
PDC-379,PROF. DR. HASINA AKHTER,"MBBS, FCPS (Gynae & Obs):MBBS, FCPS (Gynae & Obs) Professor & Head (Rtd), Department of Gynae, Rajshahi Medical College & Hospital",Gynaecology,Rajshahi
PDC-380,PROF. DR. SHAHELA JESMIN SHILPEE,"MBBS, FCPS (Gynae & Obs), DGO, MCPS (Gynae & Obs)",Gynaecology,Rajshahi
PDC-381,PROF. DR. SHIPRA CHAUDHURY,"MBBS, FCPS (Gynae & Obs),Professor, Department of Gynae, Rajshahi Medical College & Hospital",Gynaecology,Rajshahi
PDC-382,DR. MONOWARA BEGUM,"MBBS, DGO (Dhaka), FCPS, FIGO Fellow (Italy) , Consultant, Department of Gynae, Rajshahi Medical College & Hospital",Gynaecology,Rajshahi
PDC-383,PROFESSOR. DR. FERDOUSI BEGUM (FLORA),"MBBS (DMC) FCPS (Gynaecology & Obstetrics) Professor, Depertment of Gynaecology BIRDEM Hospital Shabag, Dhaka",Gynaecology,Shyamoli
